,city,lat,lon,max temp,humidity,cloudiness,wind speed,date
239,Nelson Bay,-32.72,152.15,63.0,93,90,8.05,1591750629
240,Djambala,-2.54,14.75,67.64,96,100,4.43,1591750629
241,Dedza,-14.38,34.33,48.87,88,7,1.3,1591750630
242,Aklavik,68.22,-135.01,46.4,81,90,8.05,1591750615
243,Havre-St-Pierre,50.23,-63.6,50.0,46,75,6.93,1591750630
244,Jamkhed,18.74,75.31,77.54,75,84,11.36,1591750630
245,Deputatsky,69.3,139.9,38.25,77,100,5.46,1591750630
246,Cuamba,-14.8,36.54,58.33,85,0,0.69,1591750630
247,Carnarvon,-24.87,113.63,70.92,32,0,3.0,1591750520
248,La Baule-Escoublac,47.29,-2.36,59.0,77,100,4.7,1591750630
249,Torbay,47.67,-52.73,42.01,100,75,9.17,1591750631
250,Meulaboh,4.14,96.13,78.89,83,100,4.36,1591750631
251,Iqaluit,63.75,-68.51,33.8,74,90,18.34,1591750631
252,Port Augusta,-32.5,137.77,51.01,75,0,3.36,1591750631
253,Bonnyville,54.27,-110.73,66.2,34,75,11.41,1591750631
254,Sousse,35.83,10.64,71.01,73,68,11.41,1591750631
255,Nurota,40.56,65.69,60.8,29,0,4.7,1591750631
256,Visby,57.64,18.3,46.0,93,0,2.24,1591750632
257,Isangel,-19.55,169.27,80.6,74,75,11.41,1591750632
258,Lorengau,-2.02,147.27,85.24,75,93,6.51,1591750632
259,Puerto López,4.08,-72.96,76.46,83,34,1.83,1591750632
260,Bolobo,-2.17,16.23,72.03,90,88,3.06,1591750632
261,Santo Antônio do Içá,-3.1,-67.94,76.46,84,68,2.3,1591750632
262,Saint George,37.1,-113.58,84.0,10,1,8.05,1591750342
263,Faya,18.39,42.45,73.4,37,16,7.09,1591750632
264,Saint-Joseph,-21.37,55.62,66.2,63,25,12.75,1591750632
265,Danlí,14.03,-86.58,73.8,82,4,2.44,1591750633
266,College,64.86,-147.8,68.0,48,75,16.11,1591750634
267,Rāvar,31.27,56.81,72.05,21,0,1.57,1591750634
268,Kiryat Gat,31.61,34.76,69.01,81,99,1.59,1591750634
269,Marsabit,2.33,37.99,61.59,94,90,18.97,1591750634
270,Marsh Harbour,26.54,-77.06,81.45,78,100,5.35,1591750446
271,Yauco,18.04,-66.85,75.99,91,100,3.76,1591750572
272,Churapcha,62.0,132.43,59.86,54,86,7.47,1591750634
273,Havøysund,71.0,24.66,41.0,65,75,16.11,1591750635
274,Rome,43.21,-75.46,78.8,44,1,5.82,1591750635
275,Acapulco de Juárez,16.86,-99.89,84.2,70,75,6.93,1591750635
276,Simga,21.63,81.7,90.73,40,99,4.83,1591750635
277,Raja,8.46,25.68,69.21,92,100,8.5,1591750635
278,Novichikha,52.2,81.39,58.01,63,48,6.51,1591750635
279,Lithakia,37.72,20.83,60.8,93,0,2.24,1591750635
280,Nipawin,53.37,-104.0,66.2,39,20,11.41,1591750636
281,Codrington,-38.27,141.97,50.59,67,6,11.74,1591750636
282,Sistranda,63.73,8.83,48.2,81,0,3.36,1591750636
283,Kloulklubed,7.04,134.26,78.8,88,90,5.82,1591750636
284,Ambulu,-8.35,113.61,77.04,76,4,1.79,1591750636
285,Bubaque,11.28,-15.83,80.24,85,30,9.55,1591750636
286,Gobabis,-22.45,18.97,53.29,45,0,13.29,1591750636
